Select,Quiz,Answer,Yomi
"@","ファンからは「サメちゃん」などの愛称で呼ばれ、「アトランティスの末裔」を自称する2025年5月までホロライブEnglishに所属していたVtuberは誰でしょう？","がうる・ぐら","がうるぐら"
"@","仕事などが始めたばかりで不慣れである人と、その年に収穫した穀物という2つの意味を持つ漢字2字の言葉は何でしょう？","新米","しんまい"
"@","西暦2900年にクロノス社の月村サトシによって開発されたという設定の、フジテレビの番組「逃走中」において逃走者を追いかけるアンドロイドを何というでしょう？","ハンター","はんたー"
"@","その名前はラテン語で「三叉路」という意味の言葉に由来する、「雑学」や「豆知識」を指す英語で、かつてフジテレビで放送されたバラエティー番組のタイトルにも使われていたのは何でしょう？","トリビア","とりびあ"
"@","ローマの神学者ディオニュシウス・エクシグウスによって、当時用いられていた「ディオクレティアヌス紀元」に替わる紀元として考案されたキリストが生まれた年を岩年とする現在世界で広く使われている年代の表し方を、漢字2文字で一般に何というでしょう？","西暦","せいれき"
"@","一般に「音楽の3要素」といえば、ハーモニー、メロディーと何？","リズム","りずむ"
"@","自分で得た知識ではなく、他人の話を聞いて得た知識のことを、顔の一部を使って「何学問」というでしょう？","耳学問","みみ"
"@","日本語では「汎発流行」や「世界流行」という感染症や伝染病が世界的に流行することを英語で何というでしょう？","パンデミック","ぱんでみっく"
"@","2006年のトリノオリンピックには年齢が足りず代表資格が得られなったものの、のちのバンクーバーオリンピックでは銀メダルを獲得した、日本女子フィギュアスケート選手は誰？","浅田真央","あさだまお"
"@","ミラン・トレンツの絵本を原作とする、夜になると展示物が動き出す不思議な博物館を舞台に、そこで働く夜間警備のラリーと展示物が繰り広げるドタバタを描いた、2006年のショーン・レヴィ監督の映画は何でしょう？","ナイトミュージアム","ないとみゅーじあむ"
"@","野球用語で「得点圏」とは、一般にランナーが何塁以上にいるときのことをいう？","2塁以上","2"
"@","漢字では「鬘」と書き、元々はある頭髪を補ったり、別の髪型に見せたりするときに使う、人工的な仮髪のことを一般に何というでしょう？","かつら","かつら"
"@","JIS規格における鉛筆の交互記号の1つ「H」は、何という英単語の略でしょう？","Hard","ハード"
"@","行動力があることを「これが軽い」ということもある、球技や格闘技における「足さばき」を意味する英語のフレーズは何でしょう？","フットワーク","ふっとわーく"
"@","「青春の丘」「どんどこ森」「もののけの里」などエリアがある、愛知県長久手市の愛・地球博記念公園内に位置する、あるアニメ制作会社の作品の世界観を再現したテーマパークは「何パーク」でしょう？","ジブリパーク","じぶり"
"@","夢の中で主人公の少女が白うさぎを追って穴に落ち、地下の世界で様々な不思議なできごとに出会うという内容の、ディズニーによるアニメ映画版も知られているルイス・キャロルの童話は何でしょう？","不思議の国のアリス","ふしぎのくにのありす"
"@","これまでにノーベル経済学賞を受賞した日本人は何人いるでしょう？","0","0"
"@",漢字では「水母」や「海月」と表記される、海水や淡水に生息する生物といえば何でしょう？","クラゲ","くらげ"
"@","2015のドラマ「国民の僕」に大統領役で主演するなど俳優やコメディアンとして活動歴をもつ、2019年5月にウクライナの第6代大統領に選出された政治家は誰？","ウォロディミル・ゼレンスキー","ぜれんすきー"
"@","カリウム、窒素とともに「肥料の三要素」の1つに数えられる元素は何でしょう？","リン","りん"
"@","チェスの駒で、縦・横・斜めの8方向に何マスでも移動することができるのは何でしょう？","クイーン","くいーん"
"@","1993年の放送開始当初は光GENJIが歌唱し、後にYa-Ya-Yah、Hey!Sey!JUMPなどのグループが代々カバーしている、アニメ「忍たま乱太郎」オープニングとして長年使われている曲のタイトルは何でしょう？","勇気100%","ゆうき100ぱーせんと"
"@","主に高音域の不評で使われるため「高音部記号」とも呼ばれ、その形はアルファベットの「G」を図案化したものである、五線譜で使われる音部記号の一種を、日本語の音階を用いて一般に「何記号」というでしょう？","ト音記号","とおん"
"@","世界で唯一四角形ではない国旗を持つ、首都をカトマンズにおくアジアの国はどこでしょう？","ネパール","ねぱーる"
"@","日本において、死刑判決が適用されるのは犯罪を犯したときの年齢が何歳以上のものからでしょう？","18歳以上","18"
"@","東京ディズニーランドで初めてファストパスが導入された、スペース・マウンテン、スプラッシュ・マウンテンとともに「三大マウンテン」と称されるアトラクションは「何・マウンテン」でしょう？","ビックサンダー・マウンテン","びっくさんだー"
"@","スキーで、急斜面を滑り降り、そのタイムを競い合う競技のことを、アルプス地方で発達したことから「何スキー」というでしょう？","アルペンスキー","あるぺん"
"@","チケットぴあなどのプレイガイドや興行の主催者が公認するチケットの再販売サービスのことを「転売」を意味する英語で何というでしょう？","リセール","りせーる"
"@","日本の警視庁のことを指す隠語にも用いられており、1860年には大老の井伊直弼が付近で暗殺される事件が起こった、現在の皇居内堀にある門の1つは何でしょう？","桜田門","さくらだもん"
"@","元々は英語圏で行われている文化であり、日本では1963年に当時の雪印乳業がCMで用いたのがきっかけで広まったとされる、写真を撮るときによく発する、ある食べ物を用いた掛け声といえば、「はい、何」でしょう？","はい、チーズ","ちーず"
"@","Myaは運営する個人サイト「Neutral」で公開されている「お手軽3,000円」「お勧め5,000円」「高級10,000円」の3つのコースから選び、回転ずしをモチーフにしたタイピングの練習が行えるソフトは何でしょう？","寿司打","すしだ"
"@","初代社長を孫正義の弟・泰蔵が務めた、オンラインゲーム「ラグナロクオンライン」の運営や、スマホゲーム「パズル&ドラゴンズ」の開発で知られる会社は何でしょう？","ガンホー","がんほー"
"@","慣用句で、長年の修行で腕が熟練したり、道具が使い込まれて老朽化したりしている様子のことを、かつて奉公人を雇い入れるときに定めた約束の期間を意味する漢字2文字の言葉を用いて「何が入る」というでしょう？","年季がはいる","ねんき"
"@","妻に女優の青田典子をもつ、ソロとしての代表曲に「メロディー」や「田園」などがある、ロックバンド・安全地帯のボーカルを務めている北海道出身のミュージシャンは誰でしょう？","玉置浩二","たまきこうじ"
"@","宮部みゆきによる小説のタイトルにもなっている、他人の犯罪やフィクション中の手法を真似て二次的に犯罪を働く者のことを指す漢字3字の言葉は何でしょう？","模倣犯","もほうはん"
"@","野沢秀行、松田弘、関口和之、原由子、桑田佳祐からなる1978年にシングル「勝手にシンドバッド」でデビューした日本のロックバンドは何でしょう？","サザンオールスターズ","さざんおーるすたーず"
"@","「キノコ王国を裏切った悪いキノコ」という設定が当時の説明書に書かれている、ゲーム「スーパーマリオブラザーズ」の1-1で最初に敵として出てくる、キノコ型のキャラクターは何でしょう？","クリボー","くりぼー"
"@","テレビ番組の「愛車遍歴」や、ラジオ番組の「メガネびいき」などの冠番組でのトークも人気の、小木博明と矢作兼の2人からなるお笑いコンビは何でしょう？","おぎやはぎ","おぎやはぎ"
"@","家系ラーメン発祥店の「吉村家」が位置する、関東地方の都市はどこでしょう？","横浜市","よこはまし"
"@","2018年にはテレビアニメ化、2024年には永野芽都と佐藤健主演で映画化された「赤血球」「白血球」「血小板」などをメインキャラクターとし、人間の体内の細胞などを擬人化した清水茜の漫画は何でしょう？","はたらく細胞","はたらくさいぼう"
"@","離婚や死別などの事情から子どもを1人で育てている母親のことを「単身の」といった意味の英語を使って「何マザー」というでしょう？","シングルマザー","しんぐる"
"@","別名を「ひずみのエネルギー」という、ゴムやばねなどの物体が変形しているときに蓄えている位置エネルギーのことを、漢字2文字を使って「何エネルギー」というでしょう？","弾性エネルギー","だんせい"
"@","「契約や和解が成立すること」「武士や家臣が町人などを自らの手で切り殺すこと」「そば・うどんなどを、機械を使わないで作ること」に共通して表す言葉は何でしょう？","手打ち","てうち"
"@","陸上競技のフォームで、走る歩幅を大きくとることでスピードを維持する走りのことを、「歩幅」という意味の英語を使って「何双方」というでしょう？","ストライド走法","すとらいど"
"@","主演のベン・キングズレーは第55回のアカデミー主演男優賞に輝いた、インド独立運動の指導者の障害を描いたリチャード・アッテンボロー監督の伝記映画は何でしょう？","ガンジー","がんじー"
"@","その社名は創業者が湯川秀樹と知り合いであったことに由来する、主な製品に「VC-3000のど飴」「はちみつきんかんのど飴」「男梅キャンデー」などがある製菓会社は何でしょう？","ノーベル製菓","のーべる"
"@","正式名称を「全国瞬時警報システム」という、通信衛星と地方自治体の防災無線などを利用し、緊急情報を住民にいち早く伝える日本のシステムを通称何というでしょう？","Jアラート","あらーと"
"@","夫はお笑いコンビ・メイプル超合金のカズレーザーである、代表的な役にNHK大河ドラマ「西郷どん」の愛加那や、竹内英樹監督の映画「翔んでさいたま」の壇ノ浦百美がある沖縄県出身の女優は誰でしょう？","二階堂ふみ","にかいどうふみ"
"@","2016年にシングル「星の中の君」でデビューした、代表曲に「プロローグ」「それを愛と呼ぶなら」「あなたがいることで」などがあるシンガーソングライターは誰？","Uru","Uru"
"@","多景島、竹生島、沖島といった島が浮かぶ、日本で最も広い湖は何でしょう？","琵琶湖","びわこ"
"@","世界大陸のうち1つの国のみが領有している唯一の大陸は何でしょう？","オーストラリア大陸","おーすとらりあ"
"@","2017年7月から日本全国で導入された「一時停止」の道路標識の「止まれ」の文字の下に併記されている言葉は何でしょう？","STOP","STOP"
"@","伝統の様式では「グアンバ」という茶器と「ボンビーリャ」というストローを使って飲まれるビタミンやミネラルの含有量が高いことから「飲むサラダ」ともｓ要される南米原産のお茶は「何茶」でしょう？","マテ茶","まて"
"@","葵区、駿河区、清水区からの3区からなる日本の政令指定都市はどこでしょう？","静岡市","しずおか"
"@","慣用句で、やる気を起こすように励ましたり、物事に早く取り組むように催促したりすることを、体の一部分を使って「何を叩く」というでしょう？","尻を叩く","しり"
"@","アテネオリンピックと北京オリンピックで金メダルを獲得し、レース後のインタビューで発した「チョー気持ちいい」「何も言えねえ」は流行語にもなった、主に平泳ぎで活躍した競泳選手は誰でしょう？","北島康介","きたじまこうすけ"
"@","何も考えずにのんきに暮らす人のたとえで、山本圭壱と加藤浩次からなるお笑いコンビの名前にもなっている言葉といえば何でしょう？","極楽とんぼ","ごくらくとんぼ"
"@","テニスや卓球で、ラケットを持つ手の側に来たボールを打つことを、反対側に来たボールを打つ「バックハンド」に対して「何ハンド」というでしょう？","フォアハンド","ふぉあ"
"@","1977年に福田越夫によって創設された、広く国民に敬愛され、社会に明るい希望を与えた物や団体を内閣総理大臣が表彰する賞は何賞でしょう？","国民栄誉賞","こくみんえいよ"
"@","北米のスポーツチームで、NFLのラムズとチャージャーズ、NBAのレイカーズとクリッパーズ、MLBのドジャーズがいずれも本拠地を置く都市はどこでしょう？","ロサンゼルス","ろさんぜるす"
"@","他のベースと違い五角形をしており、ここをランナーが踏むと得点を得ることができる、野球における本塁のことを英語で「何ベース」というでしょう？","ホームベース","ほーむ"
"@","その名は映画化もされたスコット・フィッツジェラルドの小説の主人公の名前にも由来する、名前を冠した汗拭きシートやヘアワックスでおなじみの株式会社マンダムのメンズコスメブランドは何でしょう？","ギャツビー","ぎゃつびー"
"@","2008年には出身地である諫早市より初めて市民栄誉賞を受賞している、体操の全日本個人総合選手権では10連覇を、オリンピックの個人総合ではロンドン、リオデジャネイロで2連覇をそれぞれ達成した元体操選手は誰でしょう？","内村航平","うちむらこうへい"
